cidade,uf,populacao
CentroNovodoMaranhão,Maranhão,22056
SãoJosédoValedoRioPreto,RiodeJaneiro,22032
Lucélia,SãoPaulo,22022
Itatira,Ceará,22018
Anori,Amazonas,21937
ColôniaLeopoldina,Alagoas,21935
ChãGrande,Pernambuco,21929
Mari,Paraíba,21895
Itaiópolis,SantaCatarina,21889
NovaGranada,SãoPaulo,21871
SãoFranciscodePaula,RioGrandedoSul,21871
SãoJosédaCoroaGrande,Pernambuco,21868
SãoMigueldoAraguaia,Goiás,21849
PalmasdeMonteAlto,Bahia,21840
Camanducaia,MinasGerais,21831
SantaBárbaradoPará,Pará,21811
OliveiradosBrejinhos,Bahia,21797
Aquidabã,Sergipe,21796
Ortigueira,Paraná,21783
VargemAlta,EspíritoSanto,21778
Paramirim,Bahia,21777
SilvaJardim,RiodeJaneiro,21775
Maracaçumé,Maranhão,21773
Itapoá,SantaCatarina,21766
Itapecerica,MinasGerais,21760
SãoMarcos,RioGrandedoSul,21756
MadredeDeus,Bahia,21754
Uruçuí,Piauí,21746
NovaPetrópolis,RioGrandedoSul,21717
EngenheiroCoelho,SãoPaulo,21712
Nhamundá,Amazonas,21710
Araripe,Ceará,21707
NovaXavantina,MatoGrosso,21695
Paraguaçu,MinasGerais,21693
Olhod'ÁguadasFlores,Alagoas,21690
Parelhas,RioGrandedoNorte,21611
Itaquiraí,MatoGrossodoSul,21604
Rolante,RioGrandedoSul,21591
Perdões,MinasGerais,21577
Paraibano,Maranhão,21571
Caxambu,MinasGerais,21566
Castilho,SãoPaulo,21521
NovaEsperançadoPiriá,Pará,21519
MonteSantodeMinas,MinasGerais,21504
LagoadeItaenga,Pernambuco,21490
Boquira,Bahia,21486
SiqueiraCampos,Paraná,21476
CostaRica,MatoGrossodoSul,21456
SãoJoaquimdoMonte,Pernambuco,21439
Taperoá,Bahia,21421
Urussanga,SantaCatarina,21419
Cajueiro,Alagoas,21397
Guará,SãoPaulo,21394
Buritirama,Bahia,21374
Cunha,SãoPaulo,21373
Paraisópolis,MinasGerais,21353
SãoJosédoRioClaro,MatoGrosso,21351
MonteAlegredeMinas,MinasGerais,21349
Orós,Ceará,21342
CantodoBuriti,Piauí,21326
SãoSimão,Goiás,21318
Bequimão,Maranhão,21317
CarmodoRioClaro,MinasGerais,21310
JandaiadoSul,Paraná,21281
PioXII,Maranhão,21274
CapeladoAlto,SãoPaulo,21257
Comodoro,MatoGrosso,21249
Quiterianópolis,Ceará,21246
Anagé,Bahia,21229
NovaOlindadoMaranhão,Maranhão,21228
Bananeiras,Paraíba,21220
Crisópolis,Bahia,21219
Vertentes,Pernambuco,21172
Itatinga,SãoPaulo,21139
ArroiodoMeio,RioGrandedoSul,21121
Pinhalzinho,SantaCatarina,21103
PauloRamos,Maranhão,21092
SãoFranciscodoGuaporé,Rondônia,21088
Ibicaraí,Bahia,21083
SãoFelipe,Bahia,21083
Campestre,MinasGerais,21052
Mirador,Maranhão,21045
Catarina,Ceará,21041
Itaobim,MinasGerais,20997
Lambari,MinasGerais,20995
AlagoaNova,Paraíba,20992
Barroso,MinasGerais,20981
Junqueirópolis,SãoPaulo,20978
SantaBárbara,Bahia,20971
Pindoretama,Ceará,20964
Butiá,RioGrandedoSul,20963
CruzeirodoOeste,Paraná,20962
Bastos,SãoPaulo,20952
ValençadoPiauí,Piauí,20940
Silvânia,Goiás,20938
Araçoiaba,Pernambuco,20936
Serro,MinasGerais,20915
SantoAntôniodoIçá,Amazonas,20889
Bombinhas,SantaCatarina,20889
Abadiânia,Goiás,20873
AtalaiadoNorte,Amazonas,20868
WenceslauGuimarães,Bahia,20862
SantoAnastácio,SãoPaulo,20855
NovaOlímpia,MatoGrosso,20820
Ubiratã,Paraná,20809
GovernadorMangabeira,Bahia,20800
CocalzinhodeGoiás,Goiás,20771
Envira,Amazonas,20748
RiachodasAlmas,Pernambuco,20744
Piratini,RioGrandedoSul,20743
FlorestadoAraguaia,Pará,20742
SãoJoãoBatista,Maranhão,20736
BelémdoSãoFrancisco,Pernambuco,20730
SãoJoãodoPiauí,Piauí,20720
Cotriguaçu,MatoGrosso,20717
Medina,MinasGerais,20701
Vazante,MinasGerais,20692
Tibagi,Paraná,20688
Jaboticatubas,MinasGerais,20683
Maraú,Bahia,20664
Itapiúna,Ceará,20653
Cachoeirinha,Pernambuco,20618
Araruna,Paraíba,20610
Abaré,Bahia,20594
Caraúbas,RioGrandedoNorte,20588
Paranapanema,SãoPaulo,20588
Paulistana,Piauí,20583
Brasnorte,MatoGrosso,20571
Guaratinga,Bahia,20565
Jaguaruna,SantaCatarina,20547
MonteAzul,MinasGerais,20544
RegenteFeijó,SãoPaulo,20523
Muzambinho,MinasGerais,20522
NovaBrasilândiad'Oeste,Rondônia,20504
Beruri,Amazonas,20503
Ibirubá,RioGrandedoSul,20474
BaixaGrande,Bahia,20431
CoronelVivida,Paraná,20430
Aragarças,Goiás,20410
SãoJosédePiranhas,Paraíba,20406
NovoAirão,Amazonas,20395
Itororó,Bahia,20394
CerqueiraCésar,SãoPaulo,20391
Tanhaçu,Bahia,20383
CândidoMendes,Maranhão,20376
SantoAntôniodoSudoeste,Paraná,20354
JijocadeJericoacoara,Ceará,20351
PadreParaíso,MinasGerais,20346
Cuité,Paraíba,20331
Uruçuca,Bahia,20312
Itajuípe,Bahia,20309
Riachão,Maranhão,20288
Chorozinho,Ceará,20286
Turmalina,MinasGerais,20280
ÁguaBranca,Alagoas,20263
PortoReal,RiodeJaneiro,20254
MagalhãesdeAlmeida,Maranhão,20228
BarradaEstiva,Bahia,20198
Icapuí,Ceará,20183
Cantagalo,RiodeJaneiro,20163
Taquarana,Alagoas,20162
PortoRealdoColégio,Alagoas,20158
Sonora,MatoGrossodoSul,20158
PlácidodeCastro,Acre,20147
Ipanema,MinasGerais,20133
Hidrolândia,Ceará,20126
CamposBelos,Goiás,20124
Pacaraima,Roraima,20108
Alpinópolis,MinasGerais,20059
Salgado,Sergipe,20051
Buri,SãoPaulo,20050
Capoeiras,Pernambuco,20048
Pindobaçu,Bahia,20048
BoaVistadoRamos,Amazonas,20040
Madalena,Ceará,20031
RioVerdedeMatoGrosso,MatoGrossodoSul,20025
Divino,MinasGerais,20020
Rubiataba,Goiás,20012
SantaVitória,MinasGerais,19997
Ibicoara,Bahia,19990
Afrânio,Pernambuco,19981
Umirim,Ceará,19976
Remígio,Paraíba,19973
Maracás,Bahia,19973
Itarantim,Bahia,19937
MajorIzidoro,Alagoas,19923
Lajinha,MinasGerais,19914
Xapuri,Acre,19866
Alhandra,Paraíba,19865
Ubaíra,Bahia,19860
Palmeirândia,Maranhão,19840
SantaLuziadoPará,Pará,19839
Simonésia,MinasGerais,19834
BuritidosLopes,Piauí,19832
Andirá,Paraná,19823
RiachãodoDantas,Sergipe,19813
BordadaMata,MinasGerais,19809
Pariquera-Açu,SãoPaulo,19797
RodriguesAlves,Acre,19767
CampinaVerde,MinasGerais,19759
CarmópolisdeMinas,MinasGerais,19756
MarechalThaumaturgo,Acre,19727
CastelodoPiauí,Piauí,19716
AltoAraguaia,MatoGrosso,19714
Morros,Maranhão,19708
PastosBons,Maranhão,19693
PresidenteOlegário,MinasGerais,19680
Carnaíba,Pernambuco,19666
Antas,Bahia,19659
MâncioLima,Acre,19643
Pauini,Amazonas,19616
Olhod'ÁguadasCunhãs,Maranhão,19616
Umburanas,Bahia,19573
Tejuçuoca,Ceará,19551
Cajari,Maranhão,19521
Papanduva,SantaCatarina,19521
Miracatu,SãoPaulo,19511
Pitimbu,Paraíba,19478
Ampére,Paraná,19466
TrêsBarras,SantaCatarina,19455
PiraporadoBomJesus,SãoPaulo,19453
Horizontina,RioGrandedoSul,19446
Sengés,Paraná,19441
FormosadaSerraNegra,Maranhão,19425
RioBananal,EspíritoSanto,19398
Quitandinha,Paraná,19388
WenceslauBraz,Paraná,19358
Trairão,Pará,19344
FariasBrito,Ceará,19330
Utinga,Bahia,19330
Caiapônia,Goiás,19304
Varzelândia,MinasGerais,19290
ÁguasFormosas,MinasGerais,19285
Iati,Pernambuco,19284
Cantá,Roraima,19257
CostaMarques,Rondônia,19255
PassagemFranca,Maranhão,19253
Baependi,MinasGerais,19249
Dormentes,Pernambuco,19246
Guareí,SãoPaulo,19244
Ibirama,SantaCatarina,19238
Jaicós,Piauí,19233
Itanhém,Bahia,19231
Serrita,Pernambuco,19226
PresidenteSarney,Maranhão,19217
OtacílioCosta,SantaCatarina,19201
Capanema,Paraná,19172
Jaguaripe,Bahia,19162
Carmo,RiodeJaneiro,19161
JúliodeCastilhos,RioGrandedoSul,19159
FátimadoSul,MatoGrossodoSul,19152
PortoAcre,Acre,19141
Viradouro,SãoPaulo,19133
Matipó,MinasGerais,19098
Ituaçu,Bahia,19095
SãoRaimundodasMangabeiras,Maranhão,19090
Chopinzinho,Paraná,19083
Contenda,Paraná,19082
Aroeiras,Paraíba,19081
Porciúncula,RiodeJaneiro,19068
Japaratuba,Sergipe,19067
TerraSanta,Pará,19063
Macarani,Bahia,19056
Tonantins,Amazonas,19038
CamocimdeSãoFélix,Pernambuco,19032
Caconde,SãoPaulo,19031
Conceição,Paraíba,19030
BarãodeGrajaú,Maranhão,19026
Ervália,MinasGerais,19019
Guaranésia,MinasGerais,19014
CabaceirasdoParaguaçu,Bahia,19010
Epitaciolândia,Acre,18979
Itapororoca,Paraíba,18978
Montanha,EspíritoSanto,18954
MonteAzulPaulista,SãoPaulo,18928
Ipaba,MinasGerais,18926
Antonina,Paraná,18919
ÁguasdeLindóia,SãoPaulo,18908
Alumínio,SãoPaulo,18903
Ribeirópolis,Sergipe,18891
Augustinópolis,Tocantins,18870
Fronteira,MinasGerais,18866
NazaréPaulista,SãoPaulo,18866
Pocinhos,Paraíba,18848
Venturosa,Pernambuco,18835
Cocos,Bahia,18835
AreiaBranca,Sergipe,18825
Garuva,SantaCatarina,18816
Pirapemas,Maranhão,18814
SãoJosédosQuatroMarcos,MatoGrosso,18788
SãoGabriel,Bahia,18785
Cafelândia,Paraná,18783
CruzMachado,Paraná,18772
SãoBeneditodoRioPreto,Maranhão,18769
SãoJoãodoSoter,Maranhão,18746
GovernadorEdisonLobão,Maranhão,18740
Picuí,Paraíba,18737
Bacuri,Maranhão,18726
Cariús,Ceará,18700
SantoAntôniodoAmparo,MinasGerais,18697
Neópolis,Sergipe,18688
Mendes,RiodeJaneiro,18681
RioClaro,RiodeJaneiro,18677
Cairu,Bahia,18666
Ubaitaba,Bahia,18647
Juquiá,SãoPaulo,18627
Itirapina,SãoPaulo,18610
Mirangaba,Bahia,18603
Colina,SãoPaulo,18601
SãoLuísGonzagadoMaranhão,Maranhão,18600
CesárioLange,SãoPaulo,18595
Cafarnaum,Bahia,18585
MundoNovo,MatoGrossodoSul,18578
Taió,SantaCatarina,18576
Malacacheta,MinasGerais,18556
Mairi,Bahia,18535
Varjota,Ceará,18520
CarlosChagas,MinasGerais,18516
PioIX,Piauí,18492
BoaVistadoTupim,Bahia,18491
Mucajaí,Roraima,18482
Cariré,Ceará,18470
Batalha,Alagoas,18440
LagoadoCarro,Pernambuco,18429
Juazeirinho,Paraíba,18422
Ibipeba,Bahia,18421
MirantedoParanapanema,SãoPaulo,18415
Inhapi,Alagoas,18398
Solonópole,Ceará,18389
Querência,MatoGrosso,18386
FormosodoAraguaia,Tocantins,18358
Indiaroba,Sergipe,18337
Jucurutu,RioGrandedoNorte,18335
Correntes,Pernambuco,18327
CampodoBrito,Sergipe,18325
Banabuiú,Ceará,18313
EstreladeAlagoas,Alagoas,18304
Paraibuna,SãoPaulo,18302
Maraã,Amazonas,18298
Luz,MinasGerais,18297
Reriutaba,Ceará,18279
Ladainha,MinasGerais,18272
Sapucaia,RiodeJaneiro,18270
Buerarema,Bahia,18269
Matelândia,Paraná,18266
Jussara,Goiás,18266
SítioNovo,Maranhão,18237
Tartarugalzinho,Amapá,18217
RioMaria,Pará,18208
SãoCaetanodeOdivelas,Pará,18207
Croatá,Ceará,18201
Messias,Alagoas,18201
ArroioGrande,RioGrandedoSul,18185
Ingá,Paraíba,18184
Cristinápolis,Sergipe,18181
Itacarambi,MinasGerais,18175
LagoaFormosa,MinasGerais,18168
PresidenteMédici,Rondônia,18165
SãoVicenteFérrer,Pernambuco,18150
Conchas,SãoPaulo,18138
Jaguaretama,Ceará,18133
Una,Bahia,18108
EliasFausto,SãoPaulo,18095
MorrodaFumaça,SantaCatarina,18095
SãoFranciscodeAssis,RioGrandedoSul,18081
Ourém,Pará,18079
SerafinaCorrêa,RioGrandedoSul,18074
Manga,MinasGerais,18051
SãoJoãodoRiodoPeixe,Paraíba,18020
AbelardoLuz,SantaCatarina,18015
BadyBassitt,SãoPaulo,18013
RioPomba,MinasGerais,18007
Regeneração,Piauí,17979
PresidenteGetúlio,SantaCatarina,17973
PousoRedondo,SantaCatarina,17965
GonçalvesDias,Maranhão,17953
Belterra,Pará,17944
Boqueirão,Paraíba,17934
Cafelândia,SãoPaulo,17917
Jacupiranga,SãoPaulo,17911
Pontalina,Goiás,17899
Não-Me-Toque,RioGrandedoSul,17886
CerroAzul,Paraná,17884
Piaçabuçu,Alagoas,17868
SãoPaulodoPotengi,RioGrandedoNorte,17858
Arinos,MinasGerais,17850
Aporá,Bahia,17840
Capistrano,Ceará,17830
Severínia,SãoPaulo,17820
Fortuna,Maranhão,17812
Fátima,Bahia,17801
Curionópolis,Pará,17764
Carnaubal,Ceará,17763
Itariri,SãoPaulo,17754
Cássia,MinasGerais,17741
Belém,Paraíba,17733
SantanadoCariri,Ceará,17726
Canapi,Alagoas,17715
LagoadaCanoa,Alagoas,17692
Potirendaba,SãoPaulo,17668
Piranga,MinasGerais,17641
MiracemadoTocantins,Tocantins,17628
PedraBrancadoAmapari,Amapá,17625
SãoMigueldoTapuio,Piauí,17617
BomSucesso,MinasGerais,17612
Seara,SantaCatarina,17610
Amarante,Piauí,17609
CruzdoEspíritoSanto,Paraíba,17599
Aiuaba,Ceará,17584
Apicum-Açu,Maranhão,17582
Ourolândia,Bahia,17567
TerraRoxa,Paraná,17562
PedraPreta,MatoGrosso,17547
Charqueada,SãoPaulo,17539
Peçanha,MinasGerais,17534
ÁguaBranca,Piauí,17525
NovaEra,MinasGerais,17524
TanqueNovo,Bahia,17518
Anadia,Alagoas,17507
Urucuia,MinasGerais,17470
PortoMurtinho,MatoGrossodoSul,17460
Bacabeira,Maranhão,17446
ConceiçãodoMatoDentro,MinasGerais,17438
Sapeaçu,Bahia,17421
FloresdeGoiás,Goiás,17415
Buritama,SãoPaulo,17414
Itaberá,SãoPaulo,17405
Cipó,Bahia,17402
Resplendor,MinasGerais,17396
Faxinal,Paraná,17379
Pindorama,SãoPaulo,17378
Salesópolis,SãoPaulo,17363
Tapes,RioGrandedoSul,17363
SátiroDias,Bahia,17330
Massaranduba,SantaCatarina,17330
Maruim,Sergipe,17328
PoçãodePedras,Maranhão,17321
MatõesdoNorte,Maranhão,17316
Jataúba,Pernambuco,17305
TerraBoa,Paraná,17304
SãoDomingosdoPrata,MinasGerais,17296
TijucasdoSul,Paraná,17295
Central,Bahia,17293
MonsenhorTabosa,Ceará,17264
Macatuba,SãoPaulo,17263
SerraDourada,Bahia,17261
BomJesusdoTocantins,Pará,17254
Carmópolis,Sergipe,17232
PiquetCarneiro,Ceará,17210
Adustina,Bahia,17209
Guajará,Amazonas,17193
SantoAntôniodeLeverger,MatoGrosso,17188
MunizFreire,EspíritoSanto,17176
CacimbadeDentro,Paraíba,17169
Corbélia,Paraná,17162
MarechalFloriano,EspíritoSanto,17141
Itapiranga,SantaCatarina,17139
Crixás,Goiás,17136
Xangri-lá,RioGrandedoSul,17126
JenipapodosVieiras,Maranhão,17123
MataRoma,Maranhão,17122
SoutoSoares,Bahia,17118
Condeúba,Bahia,17113
Sumé,Paraíba,17096
ÁguaFria,Bahia,17096
ConceiçãodoAlmeida,Bahia,17087
Araputanga,MatoGrosso,17078
Itaquitinga,Pernambuco,17056
TerraRica,Paraná,17054
Ibititá,Bahia,17048
NovaIpixuna,Pará,17027
Matupá,MatoGrosso,17017
BeloCampo,Bahia,17013
SantaCecília,SantaCatarina,17004
Bonito,Bahia,16999
RosárioOeste,MatoGrosso,16999
Realeza,Paraná,16976
Esperantinópolis,Maranhão,16971
Taguatinga,Tocantins,16966
CocaldoSul,SantaCatarina,16956
BrasilândiadeMinas,MinasGerais,16950
Tapiramutá,Bahia,16939
NovaResende,MinasGerais,16937
Capela,Alagoas,16907
PoçoFundo,MinasGerais,16900
Cidreira,RioGrandedoSul,16897
Guapiara,SãoPaulo,16896
Tapauá,Amazonas,16876
Pedregulho,SãoPaulo,16876
Malhada,Bahia,16875
Carapebus,RiodeJaneiro,16859
Araçagi,Paraíba,16857
Campanha,MinasGerais,16855
Piatã,Bahia,16854
Canudos,Bahia,16832
Juruena,MatoGrosso,16811
Ipuã,SãoPaulo,16794
Tabatinga,SãoPaulo,16787
Fortim,Ceará,16776
JoãoNeiva,EspíritoSanto,16774
Bonito,Pará,16769
Tocantins,MinasGerais,16769
Maranhãozinho,Maranhão,16754
LimaDuarte,MinasGerais,16749
Salitre,Ceará,16714
PedroAlexandre,Bahia,16698
Poté,MinasGerais,16675
Urandi,Bahia,16672
Tururu,Ceará,16588
BomLugar,Maranhão,16578
VitóriadoJari,Amapá,16572
Mangueirinha,Paraná,16572
ConceiçãodoLagoAçu,Maranhão,16559
Machados,Pernambuco,16549
Caçu,Goiás,16525
Raposos,MinasGerais,16501
Morretes,Paraná,16485
NovaCanaã,Bahia,16482
Tapejara,Paraná,16480
Perdizes,MinasGerais,16469
Ibitiara,Bahia,16463
Sertanópolis,Paraná,16456
PassaQuatro,MinasGerais,16439
Aveiro,Pará,16421
VilaBeladaSantíssimaTrindade,MatoGrosso,16412
Bituruna,Paraná,16411
FonteBoa,Amazonas,16409
Alvarães,Amazonas,16396
SantaMargarida,MinasGerais,16393
Sananduva,RioGrandedoSul,16382
LagoVerde,Maranhão,16369
Pereiro,Ceará,16356
LagoadosGatos,Pernambuco,16345
Clevelândia,Paraná,16344
Agudo,RioGrandedoSul,16344
Filadélfia,Bahia,16314
Pindaí,Bahia,16308
Corupá,SantaCatarina,16300
PaulinoNeves,Maranhão,16295
Capinópolis,MinasGerais,16294
ItaúdeMinas,MinasGerais,16286
MojuídosCampos,Pará,16282
Borborema,SãoPaulo,16278
Iguatemi,MatoGrossodoSul,16273
Ibicuí,Bahia,16262
Guamaré,RioGrandedoNorte,16261
SãoBeneditodoSul,Pernambuco,16239
Joselândia,Maranhão,16228
Barrocas,Bahia,16225
Campinápolis,MatoGrosso,16223
Altinópolis,SãoPaulo,16221
SantoAmarodoMaranhão,Maranhão,16219
BarradeSantoAntônio,Alagoas,16201
Itaetê,Bahia,16164
MonteNegro,Rondônia,16158
ItaipavadoGrajaú,Maranhão,16158
GetúlioVargas,RioGrandedoSul,16158
Piancó,Paraíba,16147
Palmitos,SantaCatarina,16144
Coaraci,Bahia,16128
SãoLourençodaSerra,SãoPaulo,16127
Candói,Paraná,16126
Quixelô,Ceará,16116
Fartura,SãoPaulo,16102
SãoPedrodoSul,RioGrandedoSul,16100
Cerejeiras,Rondônia,16088
AméricaDourada,Bahia,16086
AltoSanto,Ceará,16077
Mozarlândia,Goiás,16077
Anapurus,Maranhão,16054
NovaBandeirantes,MatoGrosso,16052
SalinasdaMargarida,Bahia,16047
NovaPonte,MinasGerais,16046
ÁguaClara,MatoGrossodoSul,16025
Tangará,RioGrandedoNorte,16008
Urucará,Amazonas,16007
JoaquimNabuco,Pernambuco,15999
Tremedal,Bahia,15996
Biritinga,Bahia,15989
RibeirãoBranco,SãoPaulo,15984
Canutama,Amazonas,15981
SãoFranciscodoPará,Pará,15978
Indiara,Goiás,15962
Panorama,SãoPaulo,15944
GrãoMogol,MinasGerais,15943
Poxoréu,MatoGrosso,15936
Rosana,SãoPaulo,15929
Papagaios,MinasGerais,15922
Encruzilhada,Bahia,15914
CapitãoLeônidasMarques,Paraná,15887
LagoaNova,RioGrandedoNorte,15880
Saloá,Pernambuco,15880
LagoaReal,Bahia,15870
Itamonte,MinasGerais,15844
Orizona,Goiás,15834
MárioCampos,MinasGerais,15814
NovaOlinda,Ceará,15798
SãoJoãodoCaru,Maranhão,15768
SãoJoãoEvangelista,MinasGerais,15761
Ipanguaçu,RioGrandedoNorte,15759
Saboeiro,Ceará,15757
Guiratinga,MatoGrosso,15740
Giruá,RioGrandedoSul,15729
Acrelândia,Acre,15721
SantaCruz,Pernambuco,15713
Sumidouro,RiodeJaneiro,15709
RestingaSêca,RioGrandedoSul,15702
FreiPaulo,Sergipe,15688
Araguanã,Maranhão,15675
TupiPaulista,SãoPaulo,15670
Igaporã,Bahia,15661
CamposAltos,MinasGerais,15661
Mantenópolis,EspíritoSanto,15653
NovaTimboteua,Pará,15646
PoçoBranco,RioGrandedoNorte,15646
SantaAdélia,SãoPaulo,15639
Ibateguara,Alagoas,15637
FreiMiguelinho,Pernambuco,15633
LuizAntônio,SãoPaulo,15628
BarradeSantaRosa,Paraíba,15607
Holambra,SãoPaulo,15605
Muqui,EspíritoSanto,15602
Espumoso,RioGrandedoSul,15594
Eldorado,SãoPaulo,15592
DionísioCerqueira,SantaCatarina,15592
Pinhalzinho,SãoPaulo,15564
DomFeliciano,RioGrandedoSul,15556
CoronelJoãoSá,Bahia,15549
Mirandiba,Pernambuco,15548
PrimeiraCruz,Maranhão,15545
SãoFélixdoCoribe,Bahia,15543
Cruzília,MinasGerais,15529
Felixlândia,MinasGerais,15528
RiodoAntônio,Bahia,15521
Cambuci,RiodeJaneiro,15521
NovaVeneza,SantaCatarina,15515
Itanhandu,MinasGerais,15511
Itapagipe,MinasGerais,15511
Taperoá,Paraíba,15505
Buritirana,Maranhão,15503
Juruá,Amazonas,15495
Jurema,Pernambuco,15483
Joaíma,MinasGerais,15476
SantaLuzia,Paraíba,15470
EntreRiosdeMinas,MinasGerais,15458
CoronelSapucaia,MatoGrossodoSul,15449
SãoSimão,SãoPaulo,15446
NovoTriunfo,Bahia,15445
Coremas,Paraíba,15438
RioAzul,Paraná,15433
VitóriadoXingu,Pará,15421
Pendências,RioGrandedoNorte,15411
BelaVistadoParaíso,Paraná,15400
CapitãoEnéas,MinasGerais,15388
Italva,RiodeJaneiro,15387
LauroMüller,SantaCatarina,15380
Sabinópolis,MinasGerais,15364
Tarumã,SãoPaulo,15361
SãoJoãodoTriunfo,Paraná,15359
Uiraúna,Paraíba,15356
ChapadadoNorte,MinasGerais,15334
Teixeira,Paraíba,15333
Nobres,MatoGrosso,15332
Itajobi,SãoPaulo,15331
Inhuma,Piauí,15330
Ipiranga,Paraná,15327
Auriflama,SãoPaulo,15316
MonteAlegredeSergipe,Sergipe,15315
Meruoca,Ceará,15309
Orocó,Pernambuco,15309
Natividade,RiodeJaneiro,15305
SerraAzul,SãoPaulo,15292
Curiúva,Paraná,15289
Areado,MinasGerais,15288
Tamarana,Paraná,15277
PassodeCamaragibe,Alagoas,15270
AltoAlegre,Roraima,15249
Glória,Bahia,15247
Jussara,Bahia,15241
Triunfo,Pernambuco,15232
Primavera,Pernambuco,15231
Acajutiba,Bahia,15214
ColoradodoOeste,Rondônia,15213
Soledade,Paraíba,15211
Miraí,MinasGerais,15205
Itaporanga,SãoPaulo,15197
PresidenteDutra,Bahia,15180
BarroAlto,Bahia,15171
Ipaussu,SãoPaulo,15165
BoaEsperança,EspíritoSanto,15146
Acarape,Ceará,15140
Alvinópolis,MinasGerais,15135
BoaEsperançadoSul,SãoPaulo,15111
Teolândia,Bahia,15097
Barroquinha,Ceará,15069
Mirinzal,Maranhão,15059
Itinga,MinasGerais,15053
JardimdePiranhas,RioGrandedoNorte,15044
Sobradinho,RioGrandedoSul,15041
CarmodeMinas,MinasGerais,15031
NovaTrento,SantaCatarina,15010
Jupi,Pernambuco,15007
Rebouças,Paraná,14991
Ibipitanga,Bahia,14989
OlindaNovadoMaranhão,Maranhão,14968
SaltodoLontra,Paraná,14957
AltoParaná,Paraná,14945
PatrocínioPaulista,SãoPaulo,14941
Upanema,RioGrandedoNorte,14937
FlóridaPaulista,SãoPaulo,14936
Botelhos,MinasGerais,14927
SantaBranca,SãoPaulo,14925
SantaIzabeldoOeste,Paraná,14924
AltodoRodrigues,RioGrandedoNorte,14923
Porteiras,Ceará,14920
Jatobá,Pernambuco,14904
Candeias,MinasGerais,14890
BrasilNovo,Pará,14883
PedroVelho,RioGrandedoNorte,14881
Cidelândia,Maranhão,14855
Jacaraci,Bahia,14855
FelizNatal,MatoGrosso,14847
NinaRodrigues,Maranhão,14826
Alagoinha,Pernambuco,14798
BomJesusdoGalho,MinasGerais,14792
Assaí,Paraná,14792
Tavares,Paraíba,14791
Xexéu,Pernambuco,14789
SãoFélix,Bahia,14784
Curuá,Pará,14776
Apuiarés,Ceará,14742
GovernadorCelsoRamos,SantaCatarina,14739
PontoNovo,Bahia,14729
GovernadorEugênioBarros,Maranhão,14703
TibaudoSul,RioGrandedoNorte,14694
SãoSebastiãodoUatumã,Amazonas,14678
Caetanos,Bahia,14671
AlfredoChaves,EspíritoSanto,14670
Simões,Piauí,14664
Pacatuba,Sergipe,14650
ItaguaçudaBahia,Bahia,14650
SantaFilomena,Pernambuco,14645
BalneárioPinhal,RioGrandedoSul,14645
Palmeirais,Piauí,14633
BarradeGuabiraba,Pernambuco,14632
RibeiradoAmparo,Bahia,14631
Alagoinha,Paraíba,14629
MatiasBarbosa,MinasGerais,14626
Montalvânia,MinasGerais,14621
Bicas,MinasGerais,14612
SantaMariadoSuaçuí,MinasGerais,14607
CândidodeAbreu,Paraná,14606
Caldas,MinasGerais,14600
Itatim,Bahia,14588
Retirolândia,Bahia,14588
Jiquiriçá,Bahia,14576
Paranhos,MatoGrossodoSul,14576
Maurilândia,Goiás,14568
Alterosa,MinasGerais,14566
Quatis,RiodeJaneiro,14562
Mucambo,Ceará,14561
ElesbãoVeloso,Piauí,14550
SerraPreta,Bahia,14531
Ilhota,SantaCatarina,14531
CampestredoMaranhão,Maranhão,14530
Arez,RioGrandedoNorte,14526
Boninal,Bahia,14518
SantoAntôniodosLopes,Maranhão,14516
SantaJuliana,MinasGerais,14497
Ibirataia,Bahia,14476
IgarapédoMeio,Maranhão,14470
Jacaraú,Paraíba,14467
PoçodasTrincheiras,Alagoas,14447
BomPrincípio,RioGrandedoSul,14446
SãoJoãod'Aliança,Goiás,14423
Andorinha,Bahia,14416
Graça,Ceará,14415
Candiba,Bahia,14415
Taguaí,SãoPaulo,14415
Marmeleiro,Paraná,14407
JoaquimPires,Piauí,14396
Casinhas,Pernambuco,14395
CampoNovodeRondônia,Rondônia,14391
Carlópolis,Paraná,14391
Tapurah,MatoGrosso,14380
PeriMirim,Maranhão,14371
AltoLongá,Piauí,14371
Brazópolis,MinasGerais,14364
AstolfoDutra,MinasGerais,14358
SãoPedrodoPiauí,Piauí,14356
Iracema,Ceará,14351
Itagibá,Bahia,14331
Pacaembu,SãoPaulo,14326
RioPiracicaba,MinasGerais,14325
Quatá,SãoPaulo,14309
SantaMariadoCambucá,Pernambuco,14308
Itapuí,SãoPaulo,14297
Anamã,Amazonas,14292
BrejodoCruz,Paraíba,14287
Tarumirim,MinasGerais,14280
Satubinha,Maranhão,14274
Guapé,MinasGerais,14269
CerroLargo,RioGrandedoSul,14243
Ipecaetá,Bahia,14229
ChapadaGaúcha,MinasGerais,14217
Iaciara,Goiás,14215
ParaísodoNorte,Paraná,14211
Guapó,Goiás,14206
SantaLuziadoItanhi,Sergipe,14205
ArroiodosRatos,RioGrandedoSul,14201
Frecheirinha,Ceará,14195
SantoCristo,RioGrandedoSul,14177
Siderópolis,SantaCatarina,14176
NiloPeçanha,Bahia,14156
Brejões,Bahia,14155
