cidade,uf,populacao
Açailândia,Maranhão,113783
Umuarama,Paraná,113416
Catalão,Goiás,113091
Corumbá,MatoGrossodoSul,112669
SantaCruzdoCapibaribe,Pernambuco,111812
Tailândia,Pará,111554
Ariquemes,Rondônia,111148
CoronelFabriciano,MinasGerais,110709
Muriaé,MinasGerais,109997
Patos,Paraíba,108766
Araxá,MinasGerais,108403
NovaSerrana,MinasGerais,108241
Cambé,Paraná,108126
TangarádaSerra,MatoGrosso,107631
SãoPedrodaAldeia,RiodeJaneiro,107556
Erechim,RioGrandedoSul,107368
Tubarão,SantaCatarina,107143
Itumbiara,Goiás,106845
Japeri,RiodeJaneiro,106296
Lagarto,Sergipe,106015
Ituiutaba,MinasGerais,105818
Assis,SãoPaulo,105768
Lavras,MinasGerais,105756
Leme,SãoPaulo,105273
Bacabal,Maranhão,105094
Aracruz,EspíritoSanto,104942
SãoGonçalodoAmarante,RioGrandedoNorte,104919
Vilhena,Rondônia,104517
Itaperuna,RiodeJaneiro,104354
Itanhaém,SãoPaulo,104351
Breves,Pará,104280
Itacoatiara,Amazonas,104046
Caieiras,SãoPaulo,104044
FazendaRioGrande,Paraná,103750
Mairiporã,SãoPaulo,103645
Iguatu,Ceará,103633
Jataí,Goiás,103221
SantoAntôniodeJesus,Bahia,103204
Itaituba,Pará,101541
BarradoPiraí,RiodeJaneiro,101139
AbreueLima,Pernambuco,100698
Manacapuru,Amazonas,99613
Ipojuca,Pernambuco,99101
Sarandi,Paraná,98888
Guaíba,RioGrandedoSul,98331
Valença,Bahia,97873
Itajubá,MinasGerais,97782
Bayeux,Paraíba,97519
NovaLima,MinasGerais,97378
Balsas,Maranhão,96951
Itabaiana,Sergipe,96839
Votuporanga,SãoPaulo,96106
CampoMourão,Paraná,96102
Caçapava,SãoPaulo,95752
ParádeMinas,MinasGerais,95616
Cáceres,MatoGrosso,95339
PontaPorã,MatoGrossodoSul,95320
Itapeva,SãoPaulo,95241
CaldasNovas,Goiás,95183
Sorriso,MatoGrosso,94941
Paracatu,MinasGerais,94539
Itaúna,MinasGerais,94455
MogiMirim,SãoPaulo,94098
FranciscoBeltrão,Paraná,93308
Caratinga,MinasGerais,93124
SãoRoque,SãoPaulo,93076
Ubatuba,SãoPaulo,92819
LuísEduardoMagalhães,Bahia,92671
Arujá,SãoPaulo,92453
SãoJoãodaBoaVista,SãoPaulo,92315
Patrocínio,MinasGerais,92116
SãoCristóvão,Sergipe,92090
Manhuaçu,MinasGerais,92074
Saquarema,RiodeJaneiro,91938
Avaré,SãoPaulo,91792
SãoSebastião,SãoPaulo,91637
Planaltina,Goiás,91345
Timóteo,MinasGerais,91268
SãoJoãodel-Rei,MinasGerais,90897
SantaInês,Maranhão,89927
CruzeirodoSul,Acre,89760
Lorena,SãoPaulo,89532
Paranavaí,Paraná,89454
Quixadá,Ceará,88899
BarradoCorda,Maranhão,88895
Gurupi,Tocantins,88428
Candeias,Bahia,87820
SerraTalhada,Pernambuco,87467
Camboriú,SantaCatarina,87179
Coari,Amazonas,86713
Cacoal,Rondônia,86416
CampoLimpoPaulista,SãoPaulo,86407
Redenção,Pará,86326
SãoBentodoSul,SantaCatarina,86317
Lajeado,RioGrandedoSul,86005
Navegantes,SantaCatarina,85734
Pacatuba,Ceará,85647
Unaí,MinasGerais,85461
Guanambi,Bahia,85353
Gravatá,Pernambuco,85309
Araripina,Pernambuco,85301
Carpina,Pernambuco,85131
Cianorte,Paraná,84980
PatoBranco,Paraná,84779
Moju,Pará,84251
Pinheiro,Maranhão,84160
Matão,SãoPaulo,84069
Ijuí,RioGrandedoSul,84041
Seropédica,RiodeJaneiro,83841
Diasd'Ávila,Bahia,83705
Esteio,RioGrandedoSul,83352
Cruzeiro,SãoPaulo,82895
Macaíba,RioGrandedoNorte,82828
TrêsRios,RiodeJaneiro,82468
Quixeramobim,Ceará,82455
Serrinha,Bahia,81693
Aquiraz,Ceará,81581
CachoeiradoSul,RioGrandedoSul,81552
Vinhedo,SãoPaulo,81516
Curvelo,MinasGerais,81085
Alfenas,MinasGerais,80973
JoãoMonlevade,MinasGerais,80903
Jacobina,Bahia,80749
Viana,EspíritoSanto,80735
Chapadinha,Maranhão,80705
TelêmacoBorba,Paraná,80588
TrêsCorações,MinasGerais,80561
Sapiranga,RioGrandedoSul,80514
Goiana,Pernambuco,80345
Ibiúna,SãoPaulo,80062
Caçador,SantaCatarina,80017
Viçosa,MinasGerais,79910
SenhordoBonfim,Bahia,79813
Russas,Ceará,79550
Cajamar,SãoPaulo,79034
Lins,SãoPaulo,78978
Picos,Piauí,78627
NovoRepartimento,Pará,78488
Jaboticabal,SãoPaulo,78029
Bebedouro,SãoPaulo,77612
SantoÂngelo,RioGrandedoSul,77544
Canindé,Ceará,77484
Itapetinga,Bahia,77408
Pirassununga,SãoPaulo,77330
Valença,RiodeJaneiro,77202
Tianguá,Ceará,77111
BeloJardim,Pernambuco,76930
SantoAntôniodoDescoberto,Goiás,76871
SantanadoAraguaia,Pará,75995
Cataguases,MinasGerais,75942
Itapira,SãoPaulo,75683
Concórdia,SantaCatarina,75683
RioLargo,Alagoas,75662
SantanadoLivramento,RioGrandedoSul,75647
Aracati,Ceará,75392
Arcoverde,Pernambuco,75295
Crateús,Ceará,75241
Oriximiná,Pará,74921
OuroPreto,MinasGerais,74824
Cosmópolis,SãoPaulo,74662
CidadeOcidental,Goiás,74370
Ceará-Mirim,RioGrandedoNorte,74268
Pacajus,Ceará,74145
Irecê,Bahia,74050
SantaRosa,RioGrandedoSul,73882
Farroupilha,RioGrandedoSul,73758
Buriticupu,Maranhão,73595
PalmeiradosÍndios,Alagoas,73452
Amparo,SãoPaulo,73145
SantaLuzia,Maranhão,73105
CasaNova,Bahia,73092
RiodoSul,SantaCatarina,72931
SantaIzabeldoPará,Pará,72856
Cascavel,Ceará,72706
Esmeraldas,MinasGerais,72512
Alegrete,RioGrandedoSul,72493
Janaúba,MinasGerais,72374
VenâncioAires,RioGrandedoSul,72373
Indaial,SantaCatarina,72346
Castro,Paraná,72125
Goianésia,Goiás,72045
Gaspar,SantaCatarina,71925
SãoSebastiãodoParaíso,MinasGerais,71915
CampoFormoso,Bahia,71754
Grajaú,Maranhão,70692
Biguaçu,SantaCatarina,70471
Ouricuri,Pernambuco,70466
Embu-Guaçu,SãoPaulo,70402
BomJesusdaLapa,Bahia,70151
Sousa,Paraíba,69997
CampoBom,RioGrandedoSul,69981
Estância,Sergipe,69919
Capanema,Pará,69828
Cabedelo,Paraíba,69773
Escada,Pernambuco,69701
Peruíbe,SãoPaulo,69697
Horizonte,Ceará,69688
Fernandópolis,SãoPaulo,69680
LucasdoRioVerde,MatoGrosso,69671
LençóisPaulista,SãoPaulo,69533
Araranguá,SantaCatarina,69493
Mineiros,Goiás,69477
Itapema,SantaCatarina,69323
Itapecuru-Mirim,Maranhão,69233
Mococa,SãoPaulo,69072
Caicó,RioGrandedoNorte,68726
BreuBranco,Pará,68597
Tabatinga,Amazonas,68502
Icó,Ceará,68303
Rolândia,Paraná,68165
Pesqueira,Pernambuco,68067
Januária,MinasGerais,67958
Formiga,MinasGerais,67956
Brumado,Bahia,67468
ConceiçãodoCoité,Bahia,67394
IpixunadoPará,Pará,67170
Vacaria,RioGrandedoSul,66916
LagoaSanta,MinasGerais,66744
Camaquã,RioGrandedoSul,66686
Surubim,Pernambuco,66192
Maués,Amazonas,66159
Montenegro,RioGrandedoSul,66157
Bertioga,SãoPaulo,66154
UniãodosPalmares,Alagoas,65963
Coroatá,Maranhão,65788
Tupã,SãoPaulo,65615
PedroLeopoldo,MinasGerais,65149
Itaberaba,Bahia,64795
Benevides,Pará,64780
Tomé-Açu,Pará,64604
Itamaraju,Bahia,64423
Itupeva,SãoPaulo,64330
Camocim,Ceará,64147
Penápolis,SãoPaulo,64098
Penedo,Alagoas,64005
CruzdasAlmas,Bahia,63923
Barreirinhas,Maranhão,63891
PrimaveradoLeste,MatoGrosso,63876
Portel,Pará,63831
Piripiri,Piauí,63829
Moreno,Pernambuco,63792
Palmares,Pernambuco,63745
Acaraú,Ceará,63556
Batatais,SãoPaulo,63438
Igarapé-Miri,Pará,63367
Boituva,SãoPaulo,63310
Cajazeiras,Paraíba,62576
Carazinho,RioGrandedoSul,62413
SãoMigueldosCampos,Alagoas,62328
Ulianópolis,Pará,62286
Guapimirim,RiodeJaneiro,62225
SãoGabriel,RioGrandedoSul,62187
Viseu,Pará,62093
ViçosadoCeará,Ceará,61916
Mariana,MinasGerais,61830
NovaOdessa,SãoPaulo,61716
MonteMor,SãoPaulo,61707
BarradoGarças,MatoGrosso,61702
Barbalha,Ceará,61662
MoradaNova,Ceará,61590
Salgueiro,Pernambuco,61561
Irati,Paraná,61439
Cristalina,Goiás,61385
DomEliseu,Pará,61206
Ibitinga,SãoPaulo,61150
EuclidesdaCunha,Bahia,61112
Bezerros,Pernambuco,60960
RioBonito,RiodeJaneiro,60930
Sidrolândia,MatoGrossodoSul,60792
Mirassol,SãoPaulo,60768
SãoBentodoUna,Pernambuco,60567
Jacundá,Pará,60517
Frutal,MinasGerais,60508
SãoMigueldoGuamá,Pará,60268
LimoeirodoNorte,Ceará,60232
SantoAmaro,Bahia,60190
Floriano,Piauí,60111
PonteNova,MinasGerais,60003
Juruti,Pará,59961
Tutóia,Maranhão,59927
Jaguariúna,SãoPaulo,59921
SãoBorja,RioGrandedoSul,59768
CachoeirasdeMacacu,RiodeJaneiro,59652
CruzAlta,RioGrandedoSul,59561
Buíque,Pernambuco,59448
Parobé,RioGrandedoSul,59419
Guarabira,Paraíba,59389
Ipirá,Bahia,59281
Tauá,Ceará,59259
Tefé,Amazonas,59250
Assu,RioGrandedoNorte,58743
Mongaguá,SãoPaulo,58567
SantaIsabel,SãoPaulo,58529
UniãodaVitória,Paraná,58298
MonteAlegre,Pará,58289
Içara,SantaCatarina,58055
CampoAlegre,Alagoas,57997
VargemGrande,Maranhão,57813
Taquara,RioGrandedoSul,57740
Coruripe,Alagoas,57647
Taquaritinga,SãoPaulo,57547
Manicoré,Amazonas,57405
Alenquer,Pará,57390
Paudalho,Pernambuco,57346
Andradina,SãoPaulo,57245
Humaitá,Amazonas,57195
TrêsPontas,MinasGerais,57127
Capivari,SãoPaulo,56973
PortoFerreira,SãoPaulo,56848
Pirapora,MinasGerais,56845
Mafra,SantaCatarina,56825
Trairi,Ceará,56653
SãoFrancisco,MinasGerais,56625
Naviraí,MatoGrossodoSul,56484
Registro,SãoPaulo,56463
Canguçu,RioGrandedoSul,56370
ArturNogueira,SãoPaulo,56247
Limoeiro,Pernambuco,56149
NovaAndradina,MatoGrossodoSul,56057
Congonhas,MinasGerais,55836
RolimdeMoura,Rondônia,55748
Acará,Pará,55744
Piedade,SãoPaulo,55731
Ibiporã,Paraná,55688
Olímpia,SãoPaulo,55477
SãoJosédoRioPardo,SãoPaulo,55298
Catu,Bahia,55222
Granja,Ceará,55170
Eusébio,Ceará,55035
CapãodaCanoa,RioGrandedoSul,55009
Jaguaquara,Bahia,54913
Araci,Bahia,54903
SãoFranciscodoSul,SantaCatarina,54751
Acopiara,Ceará,54687
BoaViagem,Ceará,54680
Vigia,Pará,54650
Canoinhas,SantaCatarina,54558
CapitãoPoço,Pará,54545
CampoBelo,MinasGerais,54338
Beberibe,Ceará,54315
VargemGrandePaulista,SãoPaulo,54315
Barra,Bahia,54225
Videira,SantaCatarina,54145
RibeiradoPombal,Bahia,54097
MarechalCândidoRondon,Paraná,54031
PortoFeliz,SãoPaulo,53698
SantoEstêvão,Bahia,53666
Inhumas,Goiás,53655
PortoNacional,Tocantins,53618
Tramandaí,RioGrandedoSul,53507
Itapajé,Ceará,53448
Itupiranga,Pará,53439
RondondoPará,Pará,53242
LagoadaPrata,MinasGerais,53236
Paracambi,RiodeJaneiro,53093
Itabirito,MinasGerais,52996
Sapé,Paraíba,52977
TobiasBarreto,Sergipe,52861
Viana,Maranhão,52852
MarechalDeodoro,Alagoas,52848
Prudentópolis,Paraná,52776
SãoJoaquimdaBarra,SãoPaulo,52737
CamposdoJordão,SãoPaulo,52713
Leopoldina,MinasGerais,52690
Timbaúba,Pernambuco,52587
ParaísodoTocantins,Tocantins,52521
Palmas,Paraná,52503
DelmiroGouveia,Alagoas,52501
Óbidos,Pará,52473
Rurópolis,Pará,52473
LaranjaldoJari,Amapá,52302
Xanxerê,SantaCatarina,52290
Guaxupé,MinasGerais,52234
ZéDoca,Maranhão,52190
Jaraguá,Goiás,52160
AltaFloresta,MatoGrosso,52105
RioGrandedaSerra,SãoPaulo,52009
Pontal,SãoPaulo,51717
BrejodaMadredeDeus,Pernambuco,51696
Jaru,Rondônia,51469
BomDespacho,MinasGerais,51436
Quirinópolis,Goiás,51323
EstânciaVelha,RioGrandedoSul,51292
